Characteritics of MPS files

|| filename || index || nb_var || nb_constr || nb_coeff || nb_var_int ||
|| scicoinor\demos\data2\Coral\Instances\lrn.mps || 19 || 7253 || 8491 || 46123 || 2455 ||
|| scicoinor\demos\data2\Coral\Instances\mcf2.mps || 20 || 521 || 664 || 3232 || 56 ||
|| scicoinor\demos\data2\Coral\Instances\mcsched.mps || 21 || 1747 || 2107 || 8088 || 1745 ||
|| scicoinor\demos\data2\Coral\Instances\mkc1.mps || 22 || 5325 || 3411 || 17038 || 3087 ||
|| scicoinor\demos\data2\Coral\Instances\nag.mps || 23 || 2884 || 5840 || 26499 || 1385 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1053234.mps || 24 || 5621 || 2596 || 14920 || 144 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1053591.mps || 25 || 1386 || 1263 || 3543 || 167 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1056905.mps || 26 || 463 || 900 || 3510 || 420 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1058477.mps || 27 || 2805 || 1529 || 9376 || 100 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1061020.mps || 28 || 14010 || 10618 || 114508 || 13931 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1062641.mps || 29 || 1748 || 1677 || 4544 || 224 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1067731.mps || 30 || 8779 || 3423 || 30998 || 6330 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1096528.mps || 31 || 1520 || 550339 || 2171928 || 1520 ||
|| scicoinor\demos\data2\Coral\Instances\neos10.mps || 32 || 23489 || 46793 || 251197 || 23489 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1109824.mps || 33 || 1520 || 28979 || 89528 || 1520 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1112782.mps || 34 || 4140 || 2115 || 8145 || 2070 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1112787.mps || 35 || 3280 || 1680 || 6440 || 1640 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1120495.mps || 36 || 1140 || 21739 || 67146 || 1140 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1121679.mps || 37 || 62 || 6 || 312 || 50 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1122047.mps || 38 || 5100 || 57791 || 163640 || 100 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1126860.mps || 39 || 2565 || 36709 || 105219 || 65 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1140050.mps || 40 || 40320 || 3795 || 808080 || 38640 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1151496.mps || 41 || 1549 || 982 || 27817 || 1548 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1171448.mps || 42 || 4914 || 13206 || 131859 || 2457 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1171692.mps || 43 || 1638 || 4239 || 42945 || 819 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1171737.mps || 44 || 2340 || 4179 || 58620 || 1170 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1173026.mps || 45 || 1314 || 893 || 6933 || 57 ||
|| scicoinor\demos\data2\Coral\Instances\neos11.mps || 46 || 1220 || 2706 || 9360 || 900 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1200887.mps || 47 || 234 || 633 || 6084 || 117 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1208069.mps || 48 || 2322 || 1150 || 27242 || 2321 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1208135.mps || 49 || 2322 || 1040 || 24034 || 2321 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1211578.mps || 50 || 260 || 356 || 1540 || 130 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1215259.mps || 51 || 1601 || 1236 || 38435 || 1600 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1215891.mps || 52 || 5035 || 6068 || 44590 || 5035 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1223462.mps || 53 || 5495 || 5890 || 47040 || 5495 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1224597.mps || 54 || 3395 || 3276 || 25090 || 3395 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1225589.mps || 55 || 1300 || 675 || 2525 || 650 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1228986.mps || 56 || 260 || 356 || 1540 || 130 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1281048.mps || 57 || 739 || 522 || 8808 || 739 ||
|| scicoinor\demos\data2\Coral\Instances\neos12.mps || 58 || 3983 || 8317 || 25781 || 3136 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1311124.mps || 59 || 1092 || 1643 || 7140 || 546 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1324574.mps || 60 || 5256 || 5904 || 20880 || 5256 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1330346.mps || 61 || 2664 || 4248 || 13032 || 2664 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1330635.mps || 62 || 1736 || 2717 || 8260 || 1652 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1337307.mps || 63 || 2840 || 5687 || 30799 || 2840 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1337489.mps || 64 || 260 || 356 || 1540 || 130 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1346382.mps || 65 || 520 || 796 || 3400 || 260 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1354092.mps || 66 || 13702 || 3135 || 187187 || 13702 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1367061.mps || 67 || 36600 || 102750 || 260250 || 975 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1396125.mps || 68 || 1161 || 1494 || 5511 || 129 ||
|| scicoinor\demos\data2\Coral\Instances\neos13.mps || 69 || 1827 || 20852 || 253842 || 1815 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1407044.mps || 70 || 16604 || 6908 || 206633 || 16604 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1413153.mps || 71 || 2451 || 2500 || 9653 || 2450 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1415183.mps || 72 || 2757 || 2809 || 10868 || 2756 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1417043.mps || 73 || 573315 || 3284 || 1146630 || 0 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1420205.mps || 74 || 231 || 383 || 1050 || 231 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1420546.mps || 75 || 26055 || 12671 || 67959 || 1125 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1420790.mps || 76 || 4926 || 2310 || 12720 || 540 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1423785.mps || 77 || 21506 || 25721 || 64082 || 1920 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1425699.mps || 78 || 105 || 89 || 430 || 85 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1426635.mps || 79 || 520 || 796 || 3400 || 260 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1426662.mps || 80 || 832 || 1914 || 8048 || 416 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1427181.mps || 81 || 832 || 1786 || 7792 || 416 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1427261.mps || 82 || 1040 || 2226 || 9740 || 520 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1429185.mps || 83 || 624 || 1346 || 5844 || 312 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1429212.mps || 84 || 416040 || 58726 || 1855220 || 54756 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1429461.mps || 85 || 520 || 1096 || 4780 || 260 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1430701.mps || 86 || 312 || 668 || 2868 || 156 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1430811.mps || 87 || 519704 || 73661 || 2474280 || 73440 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1436709.mps || 88 || 676 || 1417 || 6214 || 338 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1436713.mps || 89 || 1248 || 2666 || 11688 || 624 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1437164.mps || 90 || 2256 || 187 || 9016 || 2256 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1439395.mps || 91 || 364 || 775 || 3346 || 182 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1440225.mps || 92 || 1285 || 330 || 14168 || 1285 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1440447.mps || 93 || 260 || 561 || 2390 || 130 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1440457.mps || 94 || 936 || 1952 || 8604 || 468 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1440460.mps || 95 || 468 || 989 || 4302 || 234 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1441553.mps || 96 || 960 || 316 || 11138 || 960 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1442119.mps || 97 || 728 || 1524 || 6692 || 364 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1442657.mps || 98 || 624 || 1310 || 5736 || 312 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1445532.mps || 99 || 14406 || 1924 || 27736 || 1999 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1445738.mps || 100 || 20631 || 2145 || 40256 || 2150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1445743.mps || 101 || 20344 || 2148 || 39685 || 2150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1445755.mps || 102 || 20516 || 2139 || 40020 || 2150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1445765.mps || 103 || 20617 || 2147 || 40230 || 2150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1451294.mps || 104 || 1626 || 1238 || 21036 || 1498 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1456979.mps || 105 || 4605 || 6770 || 36440 || 4425 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1460246.mps || 106 || 285 || 306 || 2303 || 266 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1460265.mps || 107 || 1728 || 1656 || 11902 || 1624 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1460543.mps || 108 || 1700 || 2012 || 15121 || 1596 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1460641.mps || 109 || 1641 || 1532 || 11697 || 1596 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1461051.mps || 110 || 528 || 4370 || 14220 || 448 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1464762.mps || 111 || 1721 || 1632 || 12313 || 1676 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1467067.mps || 112 || 1196 || 1084 || 4692 || 598 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1467371.mps || 113 || 1693 || 1628 || 12084 || 1648 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1467467.mps || 114 || 1693 || 1644 || 12116 || 1648 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1480121.mps || 115 || 222 || 363 || 1060 || 70 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1489999.mps || 116 || 534 || 1046 || 2186 || 532 ||
|| scicoinor\demos\data2\Coral\Instances\neos14.mps || 117 || 792 || 552 || 1766 || 136 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1516309.mps || 118 || 4500 || 489 || 30400 || 4500 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1582420.mps || 119 || 10100 || 10180 || 24814 || 10100 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1593097.mps || 120 || 18460 || 798 || 113308 || 18200 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1595230.mps || 121 || 490 || 1750 || 3885 || 490 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1597104.mps || 122 || 714 || 109833 || 331373 || 714 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1599274.mps || 123 || 4500 || 1237 || 46800 || 4500 ||
|| scicoinor\demos\data2\Coral\Instances\neos15.mps || 124 || 792 || 552 || 1766 || 160 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1601936.mps || 125 || 4446 || 3131 || 72500 || 3906 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1603512.mps || 126 || 730 || 555 || 13541 || 729 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1603518.mps || 127 || 1272 || 880 || 25716 || 1271 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1603965.mps || 128 || 15003 || 28984 || 86947 || 7999 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1605061.mps || 129 || 4111 || 3474 || 93483 || 3570 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1605075.mps || 130 || 4173 || 3467 || 91377 || 3633 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1616732.mps || 131 || 200 || 1999 || 3998 || 200 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1620770.mps || 132 || 792 || 9296 || 19292 || 792 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1620807.mps || 133 || 231 || 1340 || 2860 || 231 ||
|| scicoinor\demos\data2\Coral\Instances\neos-1622252.mps || 134 || 828 || 9695 || 20125 || 828 ||
|| scicoinor\demos\data2\Coral\Instances\neos16.mps || 135 || 377 || 1018 || 2801 || 377 ||
|| scicoinor\demos\data2\Coral\Instances\neos17.mps || 136 || 535 || 486 || 4931 || 300 ||
|| scicoinor\demos\data2\Coral\Instances\neos18.mps || 137 || 3312 || 11402 || 24614 || 3312 ||
|| scicoinor\demos\data2\Coral\Instances\neos1.mps || 138 || 2112 || 5020 || 21312 || 2112 ||
|| scicoinor\demos\data2\Coral\Instances\neos20.mps || 139 || 1165 || 2446 || 7428 || 967 ||
|| scicoinor\demos\data2\Coral\Instances\neos2.mps || 140 || 2101 || 1103 || 7326 || 1040 ||
|| scicoinor\demos\data2\Coral\Instances\neos3.mps || 141 || 2747 || 1442 || 9580 || 1360 ||
|| scicoinor\demos\data2\Coral\Instances\neos-430149.mps || 142 || 395 || 990 || 2895 || 180 ||
|| scicoinor\demos\data2\Coral\Instances\neos-476283.mps || 143 || 11915 || 10015 || 3945693 || 5588 ||
|| scicoinor\demos\data2\Coral\Instances\neos-480878.mps || 144 || 534 || 1321 || 44370 || 189 ||
|| scicoinor\demos\data2\Coral\Instances\neos-494568.mps || 145 || 6889 || 2215 || 115463 || 6736 ||
|| scicoinor\demos\data2\Coral\Instances\neos-495307.mps || 146 || 9423 || 3 || 27831 || 9423 ||
|| scicoinor\demos\data2\Coral\Instances\neos-498623.mps || 147 || 9861 || 2047 || 148434 || 8500 ||
|| scicoinor\demos\data2\Coral\Instances\neos4.mps || 148 || 22884 || 38577 || 99930 || 17172 ||
|| scicoinor\demos\data2\Coral\Instances\neos-501453.mps || 149 || 165 || 40 || 535 || 147 ||
|| scicoinor\demos\data2\Coral\Instances\neos-501474.mps || 150 || 206 || 265 || 2228 || 147 ||
|| scicoinor\demos\data2\Coral\Instances\neos-503737.mps || 151 || 2850 || 500 || 16850 || 2500 ||
|| scicoinor\demos\data2\Coral\Instances\neos-504674.mps || 152 || 844 || 1344 || 3450 || 150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-504815.mps || 153 || 674 || 1067 || 2736 || 120 ||
|| scicoinor\demos\data2\Coral\Instances\neos-506422.mps || 154 || 2527 || 6811 || 31815 || 63 ||
|| scicoinor\demos\data2\Coral\Instances\neos-506428.mps || 155 || 42981 || 129925 || 343466 || 42981 ||
|| scicoinor\demos\data2\Coral\Instances\neos-512201.mps || 156 || 838 || 1337 || 3418 || 150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-520729.mps || 157 || 91149 || 31178 || 322203 || 30708 ||
|| scicoinor\demos\data2\Coral\Instances\neos-522351.mps || 158 || 1524 || 1705 || 5436 || 240 ||
|| scicoinor\demos\data2\Coral\Instances\neos-525149.mps || 159 || 3640 || 144120 || 1519200 || 3600 ||
|| scicoinor\demos\data2\Coral\Instances\neos-530627.mps || 160 || 103 || 113 || 324 || 28 ||
|| scicoinor\demos\data2\Coral\Instances\neos-538867.mps || 161 || 792 || 1170 || 3888 || 792 ||
|| scicoinor\demos\data2\Coral\Instances\neos-538916.mps || 162 || 864 || 1314 || 4272 || 864 ||
|| scicoinor\demos\data2\Coral\Instances\neos-544324.mps || 163 || 10080 || 732 || 1757280 || 10080 ||
|| scicoinor\demos\data2\Coral\Instances\neos-547911.mps || 164 || 3528 || 693 || 615048 || 3528 ||
|| scicoinor\demos\data2\Coral\Instances\neos-548047.mps || 165 || 2020 || 3970 || 26405 || 2019 ||
|| scicoinor\demos\data2\Coral\Instances\neos-548251.mps || 166 || 1922 || 2386 || 5791 || 930 ||
|| scicoinor\demos\data2\Coral\Instances\neos-551991.mps || 167 || 1730 || 3332 || 31631 || 1729 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555001.mps || 168 || 3855 || 3474 || 16649 || 3855 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555298.mps || 169 || 4827 || 2755 || 20145 || 4827 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555343.mps || 170 || 3815 || 3326 || 16967 || 3815 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555424.mps || 171 || 3815 || 2676 || 15667 || 3815 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555694.mps || 172 || 4139 || 1948 || 39543 || 2819 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555771.mps || 173 || 4170 || 1978 || 40349 || 2832 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555884.mps || 174 || 3815 || 4331 || 19067 || 3815 ||
|| scicoinor\demos\data2\Coral\Instances\neos-555927.mps || 175 || 1945 || 1403 || 7965 || 1945 ||
|| scicoinor\demos\data2\Coral\Instances\neos-565672.mps || 176 || 190589 || 318334 || 809816 || 175361 ||
|| scicoinor\demos\data2\Coral\Instances\neos-565815.mps || 177 || 1276 || 15413 || 124071 || 1276 ||
|| scicoinor\demos\data2\Coral\Instances\neos-570431.mps || 178 || 511 || 931 || 12041 || 510 ||
|| scicoinor\demos\data2\Coral\Instances\neos-574665.mps || 179 || 740 || 3790 || 16792 || 248 ||
|| scicoinor\demos\data2\Coral\Instances\neos-578379.mps || 180 || 17010 || 21703 || 101560 || 17010 ||
|| scicoinor\demos\data2\Coral\Instances\neos-582605.mps || 181 || 1265 || 1240 || 3735 || 400 ||
|| scicoinor\demos\data2\Coral\Instances\neos-583731.mps || 182 || 1350 || 1491 || 5220 || 1350 ||
|| scicoinor\demos\data2\Coral\Instances\neos-584146.mps || 183 || 811 || 936 || 3035 || 250 ||
|| scicoinor\demos\data2\Coral\Instances\neos-584851.mps || 184 || 445 || 661 || 1709 || 405 ||
|| scicoinor\demos\data2\Coral\Instances\neos-584866.mps || 185 || 3674 || 9009 || 21338 || 3584 ||
|| scicoinor\demos\data2\Coral\Instances\neos-585192.mps || 186 || 2597 || 2628 || 72396 || 1044 ||
|| scicoinor\demos\data2\Coral\Instances\neos-585467.mps || 187 || 2116 || 2166 || 50058 || 846 ||
|| scicoinor\demos\data2\Coral\Instances\neos-593853.mps || 188 || 2400 || 1606 || 6000 || 1200 ||
|| scicoinor\demos\data2\Coral\Instances\neos-595904.mps || 189 || 4508 || 2452 || 22364 || 1148 ||
|| scicoinor\demos\data2\Coral\Instances\neos-595905.mps || 190 || 1200 || 704 || 5788 || 312 ||
|| scicoinor\demos\data2\Coral\Instances\neos-595925.mps || 191 || 1276 || 956 || 5960 || 436 ||
|| scicoinor\demos\data2\Coral\Instances\neos-598183.mps || 192 || 1696 || 992 || 8388 || 436 ||
|| scicoinor\demos\data2\Coral\Instances\neos5.mps || 193 || 63 || 63 || 2016 || 53 ||
|| scicoinor\demos\data2\Coral\Instances\neos-603073.mps || 194 || 1696 || 992 || 8388 || 436 ||
|| scicoinor\demos\data2\Coral\Instances\neos-611135.mps || 195 || 6400 || 5277 || 769300 || 6400 ||
|| scicoinor\demos\data2\Coral\Instances\neos-611838.mps || 196 || 9954 || 1876 || 37027 || 54 ||
|| scicoinor\demos\data2\Coral\Instances\neos-612125.mps || 197 || 9554 || 1795 || 35791 || 50 ||
|| scicoinor\demos\data2\Coral\Instances\neos-612143.mps || 198 || 9832 || 1842 || 36643 || 52 ||
|| scicoinor\demos\data2\Coral\Instances\neos-612162.mps || 199 || 9893 || 1859 || 36835 || 53 ||
|| scicoinor\demos\data2\Coral\Instances\neos-619167.mps || 200 || 3452 || 6800 || 20020 || 400 ||
|| scicoinor\demos\data2\Coral\Instances\neos-631164.mps || 201 || 1282 || 406 || 3156 || 1037 ||
|| scicoinor\demos\data2\Coral\Instances\neos-631517.mps || 202 || 1090 || 351 || 2743 || 859 ||
|| scicoinor\demos\data2\Coral\Instances\neos-631694.mps || 203 || 3725 || 3996 || 18523 || 3725 ||
|| scicoinor\demos\data2\Coral\Instances\neos-631709.mps || 204 || 45150 || 46496 || 225148 || 45150 ||
|| scicoinor\demos\data2\Coral\Instances\neos-631710.mps || 205 || 167056 || 169576 || 834166 || 167056 ||
|| scicoinor\demos\data2\Coral\Instances\neos-631784.mps || 206 || 22725 || 23996 || 113023 || 22725 ||
|| scicoinor\demos\data2\Coral\Instances\neos-632335.mps || 207 || 12719 || 24864 || 73025 || 12719 ||
|| scicoinor\demos\data2\Coral\Instances\neos-633273.mps || 208 || 11154 || 21781 || 63910 || 11154 ||
|| scicoinor\demos\data2\Coral\Instances\neos-641591.mps || 209 || 18235 || 1085 || 200055 || 18235 ||
|| scicoinor\demos\data2\Coral\Instances\neos-655508.mps || 210 || 13572 || 13573 || 40484 || 13572 ||
|| scicoinor\demos\data2\Coral\Instances\neos-662469.mps || 211 || 18235 || 1085 || 200055 || 18235 ||
|| scicoinor\demos\data2\Coral\Instances\neos-686190.mps || 212 || 3660 || 3664 || 18085 || 3660 ||
|| scicoinor\demos\data2\Coral\Instances\neos-691058.mps || 213 || 3006 || 2667 || 30837 || 1755 ||
|| scicoinor\demos\data2\Coral\Instances\neos-691073.mps || 214 || 1935 || 2667 || 29766 || 1755 ||
|| scicoinor\demos\data2\Coral\Instances\neos-693347.mps || 215 || 1576 || 3192 || 113472 || 1405 ||
|| scicoinor\demos\data2\Coral\Instances\neos6.mps || 216 || 8786 || 1036 || 251946 || 8340 ||
|| scicoinor\demos\data2\Coral\Instances\neos-702280.mps || 217 || 7199 || 1600 || 2421882 || 7199 ||
|| scicoinor\demos\data2\Coral\Instances\neos-709469.mps || 218 || 224 || 469 || 4432 || 224 ||
|| scicoinor\demos\data2\Coral\Instances\neos-717614.mps || 219 || 3049 || 891 || 10477 || 3000 ||
|| scicoinor\demos\data2\Coral\Instances\neos-738098.mps || 220 || 9093 || 25849 || 101360 || 8946 ||
|| scicoinor\demos\data2\Coral\Instances\neos-775946.mps || 221 || 4710 || 6602 || 107876 || 3117 ||
|| scicoinor\demos\data2\Coral\Instances\neos-777800.mps || 222 || 6400 || 479 || 32000 || 6400 ||
|| scicoinor\demos\data2\Coral\Instances\neos-780889.mps || 223 || 182700 || 73910 || 497210 || 182700 ||
|| scicoinor\demos\data2\Coral\Instances\neos-785899.mps || 224 || 1320 || 1653 || 17180 || 1320 ||
|| scicoinor\demos\data2\Coral\Instances\neos-785912.mps || 225 || 1380 || 1714 || 16610 || 1380 ||
|| scicoinor\demos\data2\Coral\Instances\neos-785914.mps || 226 || 1260 || 1590 || 15290 || 1260 ||
|| scicoinor\demos\data2\Coral\Instances\neos-787933.mps || 227 || 236376 || 1897 || 298320 || 236376 ||
|| scicoinor\demos\data2\Coral\Instances\neos-791021.mps || 228 || 9448 || 3694 || 29708 || 9448 ||
|| scicoinor\demos\data2\Coral\Instances\neos-796608.mps || 229 || 311 || 286 || 778 || 119 ||
|| scicoinor\demos\data2\Coral\Instances\neos-799711.mps || 230 || 41998 || 59218 || 147164 || 910 ||
|| scicoinor\demos\data2\Coral\Instances\neos-799716.mps || 231 || 30619 || 40418 || 99928 || 910 ||
|| scicoinor\demos\data2\Coral\Instances\neos-799838.mps || 232 || 20844 || 5976 || 57888 || 20844 ||
|| scicoinor\demos\data2\Coral\Instances\neos7.mps || 233 || 1556 || 1994 || 5304 || 454 ||
|| scicoinor\demos\data2\Coral\Instances\neos-801834.mps || 234 || 3220 || 3300 || 55200 || 3220 ||
|| scicoinor\demos\data2\Coral\Instances\neos-803219.mps || 235 || 640 || 901 || 3020 || 60 ||
|| scicoinor\demos\data2\Coral\Instances\neos-803220.mps || 236 || 630 || 891 || 2980 || 60 ||
|| scicoinor\demos\data2\Coral\Instances\neos-806323.mps || 237 || 1060 || 1541 || 5650 || 110 ||
|| scicoinor\demos\data2\Coral\Instances\neos-807454.mps || 238 || 1638 || 1622 || 35272 || 1638 ||
|| scicoinor\demos\data2\Coral\Instances\neos-807456.mps || 239 || 1635 || 840 || 4905 || 1635 ||
|| scicoinor\demos\data2\Coral\Instances\neos-807639.mps || 240 || 1030 || 1541 || 5520 || 80 ||
|| scicoinor\demos\data2\Coral\Instances\neos-807705.mps || 241 || 1030 || 1541 || 5520 || 80 ||
|| scicoinor\demos\data2\Coral\Instances\neos-808072.mps || 242 || 1702 || 1713 || 38054 || 1701 ||
|| scicoinor\demos\data2\Coral\Instances\neos-808214.mps || 243 || 1308 || 640 || 22530 || 1308 ||
|| scicoinor\demos\data2\Coral\Instances\neos-810286.mps || 244 || 2915 || 2675 || 69952 || 2915 ||
|| scicoinor\demos\data2\Coral\Instances\neos-810326.mps || 245 || 1702 || 1749 || 38810 || 1701 ||
|| scicoinor\demos\data2\Coral\Instances\neos-820146.mps || 246 || 600 || 830 || 3225 || 600 ||
|| scicoinor\demos\data2\Coral\Instances\neos-820157.mps || 247 || 1200 || 1015 || 4875 || 1200 ||
|| scicoinor\demos\data2\Coral\Instances\neos-820879.mps || 248 || 9522 || 361 || 72356 || 9522 ||
|| scicoinor\demos\data2\Coral\Instances\neos-824661.mps || 249 || 45390 || 18804 || 138890 || 15640 ||
|| scicoinor\demos\data2\Coral\Instances\neos-824695.mps || 250 || 23970 || 9576 || 72590 || 8500 ||
|| scicoinor\demos\data2\Coral\Instances\neos-825075.mps || 251 || 800 || 328 || 5480 || 800 ||
|| scicoinor\demos\data2\Coral\Instances\neos-826224.mps || 252 || 41820 || 17266 || 127840 || 27540 ||
|| scicoinor\demos\data2\Coral\Instances\neos-826250.mps || 253 || 12250 || 5250 || 37520 || 8050 ||
|| scicoinor\demos\data2\Coral\Instances\neos-826650.mps || 254 || 5912 || 2414 || 20440 || 5792 ||
|| scicoinor\demos\data2\Coral\Instances\neos-826694.mps || 255 || 16410 || 6904 || 59268 || 16290 ||
|| scicoinor\demos\data2\Coral\Instances\neos-826812.mps || 256 || 15864 || 6844 || 53808 || 10350 ||
|| scicoinor\demos\data2\Coral\Instances\neos-826841.mps || 257 || 5516 || 2354 || 18460 || 3488 ||
|| scicoinor\demos\data2\Coral\Instances\neos-827015.mps || 258 || 79347 || 7688 || 166239 || 79347 ||
|| scicoinor\demos\data2\Coral\Instances\neos-827175.mps || 259 || 32504 || 14187 || 110790 || 21350 ||
|| scicoinor\demos\data2\Coral\Instances\neos-829552.mps || 260 || 40971 || 5153 || 86952 || 40971 ||
|| scicoinor\demos\data2\Coral\Instances\neos-830439.mps || 261 || 1468 || 1375 || 4804 || 868 ||
|| scicoinor\demos\data2\Coral\Instances\neos-831188.mps || 262 || 4612 || 2185 || 11256 || 4612 ||
|| scicoinor\demos\data2\Coral\Instances\neos-839838.mps || 263 || 7700 || 12751 || 47800 || 7600 ||
|| scicoinor\demos\data2\Coral\Instances\neos-839859.mps || 264 || 1975 || 3251 || 12025 || 1925 ||
|| scicoinor\demos\data2\Coral\Instances\neos-839894.mps || 265 || 16325 || 33201 || 98825 || 16300 ||
